punto	Este	Norte	cota	Name
1000	184710.3254	7780331.752	5000	Poligono 1
1001	184273.4776	7783482.98	5000	Poligono 2
1002	185315.3254	7783414.752	5000	Poligono 3
1003	184655.0183	7780843.087	5000	Poligono 4
1004	183795.169	7782773.465	5000	Poligono 5
1005	184331.7868	7781562.928	5000	Poligono 6
1006	183767.1049	7783134.883	5000	Poligono 7
1007	184290.5383	7782881.818	5000	Poligono 8
1008	184459.096	7781256.411	5000	Poligono 9
1009	183645.4497	7784462.122	5000	Poligono 10
1010	183892.0438	7783744.239	5000	Poligono 11
1011	183900.3643	7783681.943	5000	Poligono 12
1012	183915.886	7783543.519	5000	Poligono 13
1013	184064.9058	7783332.287	5000	Poligono 14
1014	183741.271	7783268.308	5000	Poligono 15
1015	183745.1885	7783237.506	5000	Poligono 16
1016	183865.173	7783232.691	5000	Poligono 17
1017	183772.0428	7783176.559	5000	Poligono 18
1018	184006.8188	7783070.707	5000	Poligono 19
1019	184052.9065	7782885.014	5000	Poligono 20
1020	184057.7046	7782830.872	5000	Poligono 21
1021	182881.7756	7782740.623	5000	Poligono 22
1022	184077.8762	7782642.33	5000	Poligono 23
1023	184409.42	7782616.036	5000	Poligono 24
1024	184010.3906	7782515.47	5000	Poligono 25
1025	184209.5555	7782318.02	5000	Poligono 26
1026	184155.1391	7782262.932	5000	Poligono 27
1027	184162.365	7782195.981	5000	Poligono 28
1028	184437.122	7781836.721	5000	Poligono 29
1029	184263.363	7781831.632	5000	Poligono 30
1030	181193.3254	7781849.752	5000	Poligono 31
1031	183379.6632	7782920.966	5000	Poligono 32
1032	184366.3254	7783525.752	5000	Poligono 33
1033	183430.261	7782867.048	5000	Poligono 34
1034	180970.8951	7781865.946	5000	Poligono 35
1035	180986.3254	7781892.752	5000	Poligono 36
1036	183438.6803	7782887.154	5000	Poligono 37
1037	181117.2813	7781784.994	5000	Poligono 38
1038	181093.6696	7781742.283	5000	Poligono 39
1039	181108.9197	7781731.789	5000	Poligono 40
1040	181132.9594	7781731.35	5000	Poligono 41
1041	181138.5064	7781733.81	5000	Poligono 42
1042	181143.6501	7781742.809	5000	Poligono 43
1043	181139.4199	7781701.206	5000	Poligono 44
1044	181087.6699	7781696.98	5000	Poligono 45
1045	181101.0272	7781685.631	5000	Poligono 46
1046	183958.6159	7783126.382	5000	Poligono 47
1047	180299.5105	7781541.642	5000	Poligono 48
1048	182051.3254	7781393.752	5000	Poligono 49
1049	181971.3254	7781463.752	5000	Poligono 50
1050	181487.9338	7782084.194	5000	Poligono 51
1051	181479.136	7782092.182	5000	Poligono 52
1052	180966.6484	7782683.27	5000	Poligono 53
1053	180912.5859	7782754.391	5000	Poligono 54
1054	180668.5759	7783045.328	5000	Poligono 55
1055	182831.8938	7780792.306	5000	Poligono 56
1056	184136.0044	7782243.291	5000	Poligono 57
1057	183715.6512	7784198.348	5000	Poligono 58
1058	184071.5885	7782607.238	5000	Poligono 59
1059	184915.8997	7781225.508	5000	Poligono 60
1060	178638.8851	7780064.444	5000	Poligono 61
1061	183723.8482	7784374.763	5000	Poligono 62
1062	183751.9288	7784300.555	5000	Poligono 63
1063	183780.8324	7784114.121	5000	Poligono 64
1064	183818.5503	7783972.016	5000	Poligono 65
1065	183941.5717	7783545.774	5000	Poligono 66
1066	184052.1741	7782931.108	5000	Poligono 67
1067	184246.5409	7782247.667	5000	Poligono 68
1068	180324.144	7783517.985	5000	Poligono 69
1069	181810.0708	7783061.672	5000	Poligono 70
1070	182048.83	7783038.218	5000	Poligono 71
1071	182120.8833	7782986.526	5000	Poligono 72
1072	183250.5846	7782614.678	5000	Poligono 73
1073	183284.2369	7782589.683	5000	Poligono 74
